SIRPB1
MUC16
EFCAB13
FRG1BP
FRG1DP
OR5K3
NONE
GYG2P1
RBMX
ADAM3A
BLM
SPPL2B
HLA-DPB1
PRSS3
DDX60L
HLA-DQB1
PLIN4
NPSR1
TBP
MICA
DPY19L2
RXYLT1
GXYLT1
TYW1B
ENPP7P13
MIR9901
CRYBG2
CARD14
ABHD12
PJA2
MAN2A1
PYGL
GCNT7
MUC17
GALK2
MST1P2
OR11H1
CCT8L2
EFCAB8
DNAJC4
NUDT22
RIPOR2
ADGRE1
C12orf60
ZNF578
GUCA1C
DPP7
ZNF141
AGXT2
ABCF1
RPL18
PHKA1
VOPP1
PEBP4
GBP3
ZNF480
TPT1
GPRIN1
MUC4
VMO1
CHCHD10
LOC100134368
CHRFAM7A
TRDN
NOP16
DNAH14
SLC22A9
NRG4
VPS13B
AMD1
LINC00029
LINC01749
CHMP4B
RALY-AS1
CLIP3
C21orf91-OT1
LINC00421
TPTE2
TPTE
HLA-L
SVEP1
LINC00636
SEC63
CPSF1
TMEM216
PRKRA
PTPRVP
MFF
FES
TNFAIP6
ANKRD36
UPP1
COLQ
AGL
CENPN
VWA3B
TBC1D3P2
KIR2DS5
KIR2DS3
LOC102725023
UBTFL1
CCDC26
GSDMC
LGR6
PRAMEF2
PER3
FAM86B1
OR5K4
MOB3C
GAPVD1
GOSR1
MS4A12
MS4A7
MEIS3P1
ITGB1BP1
LOC102724562
CCDC144NL
ACTR8
GYPB
CYLC2
SNHG17
HPN-AS1
POLR2J3
ADAM6
LINC00226
SPATA3
MIR4539
FAM30A
BCR
RNASE9
KRI1
TMEM107
LILRB3
PSMA4
SRPK1
HTR3D
CD24
AGAP12P
ARL13B
ZC4H2
ZC3H12B
UVSSA
NKX1-1
APOBR
ZDHHC11B
ESPNP
PSMG1
DIDO1
SMPD4
KRT1
FAM83H
POTEM
OR11H2
GAB4
ANKRD20A9P
C9orf147
LINC00471
SERTAD4
HHAT
OR8I2
LOC110091776
MYO7A
AREL1
SOS2
AXDND1
ANKRD20A5P
VAT1
CLDN5
UVRAG
MAPT
TMEM25
CDKN2A-DT
STXBP2
KRT24
PRKAR1A
IDUA
HPR
ADGRG6
MAPKBP1
MUC21
TMEM254
KRTAP5-4
NRP2
RPL34-AS1
OR4P4
ACSL6
SLC9A8
CCDC30
TMEM254-AS1
ARSD
MIR5091
LINC01182
ZNF664
ABCA10
IPO4
LRRIQ1
DNM1P41
LTN1
MDP1
NEDD8-MDP1
ZNF3
ZNF474
ATXN2L
TLCD3A
MYH14
GEN1
LINC01565
GK5
TBC1D27P
TOR1AIP1
ZNF626
RAI1
KLK3
POTEH
LYST
BIRC7
NOTCH2NLA
NOTCH2NLB
NOTCH2NLC
ZNF890P
MAPK11
CELP
PRSS48
CCDC80
CTBP2
KIR2DS4
FLJ25758
MBD3L2B
CTAGE10P
TAF1B
NCOR1
CEP164
TBC1D31
GBGT1
FRG1EP
LOC283788
FRG1
CAMTA2
ZNF317
SLC22A25
MIR1-1HG-AS1
TXNRD2
CRACR2B
BMP4
ANTXRLP1
ADAMTS12
SPAG11A
FMC1-LUC7L2
LUC7L2
LPAL2
C1orf105
LOC728613
TMX3
COX6C
ARMS2
MT1G
MYH7
LOC102724488
SYT15
GART
GPRC5C
FRG2
N6AMT1
SLC6A8
DPH5
RXFP2
TSPAN10
PCDHGA8
CCDC90B
NOTCH2
C17orf99
OR52N5
DZANK1
ETV2
PRICKLE1
TMEM8A
ATR
FOLH1B
URAHP
TUBBP5
CCNC
PTCHD3
CASP5
PMS1
NFKB1
HGC6.3
NCAPH2
PAK4
PRSS41
RP1L1
MROH2B
OR4C16
KRTAP5-5
GOLGA8S
NPPA
LOC653653
ACTR3BP2
OR1S1
SETBP1
C9orf43
ALDH1L1
SAMD11
TK2
PPFIA4
EPS8L2
NANS
WTIP
ZNF807P
TMPRSS4
LPO
TNS2
DGLUCY
KIAA1841
AQP7
HTR3E
AKR7L
SEMA5B
TIMM44
MS4A14
SYNE1
SEPTIN2
ERI1
OR7E14P
OR52N1
WHAMMP2
OR5AC2
FCRL6
RNF130
RASGEF1C
