CHCHD10
MICA
OR5K3
SIRPB1
PTPRVP
PYGL
RIPOR2
PEBP4
LILRB3
VOPP1
GUCA1C
HLA-DPB1
TBC1D3P2
LINC00029
LINC01749
NRG4
NOP16
FES
EFCAB13
EFCAB8
SEC63
AGAP12P
NPSR1
TPTE
HLA-DRA
LGR6
SNHG17
ADGRE1
RPL18
TPT1
SLC22A10
MUC16
ADAMTS12
AGXT2
GCNT7
MS4A7
DDX60L
C12orf60
DIDO1
MOB3C
CARD14
HLA-DQB1
FRG2B
VMO1
OR11H1
CCT8L2
ZNF890P
GALK2
PER3
CELP
UPP1
DPP7
FRG1DP
FRG1EP
LOC283788
AGL
MEIS3P1
COLQ
BIRC7
TSPAN10
ACSL6
DPY19L2
RXYLT1
CLIP3
C21orf91-OT1
TMEM216
GAPVD1
ZFYVE19
LOC728613
ZNF578
IPO4
MROH5
LTN1
SRPK1
CHRFAM7A
LOC102724562
SIRPA
DNM1P41
ADAM3A
CLDN5
VAT1
POLR2J3
SMPD4
MIR1-1HG-AS1
TBC1D31
CD24
KRT1
TMEM254-AS1
ACTN3
TBP
ZNF480
GXYLT1
LINC00471
ZNF141
OR1S1
RELCH
HPR
SPPL2B
PSMA4
TMEM107
NANS
CRYBG2
GYPB
GBP3
MYH14
VPS13B
APOBR
OR5AC2
ATXN2L
CNN2
ALG1L2
OR5K4
TMEM25
CENPN
BRD7
TMPRSS4
ADAM6
LINC00226
VWA3B
ITGB1BP1
MYH7
RBMX
ARMS2
PRKAR1A
IL12RB1
SKA3
MUC17
GNA11
HTR3D
CYLC2
SPATA3
BMP4
SLC6A8
OR4P4
TRDN
FRG1BP
NCAPH2
UBTFL1
TAF1B
TUBBP5
URAHP
NFKB1
AXDND1
CRACR2B
SERTAD4
HHAT
ADAM11
ARMCX2
DNAJC4
NUDT22
MYO15B
PCDHGA8
GEN1
TXNRD2
TMEM254
NCOR1
MT1G
NONE
GYG2P1
ADGRG6
MAPT
KLK3
HPN-AS1
PRKRA
LOC100996724
HLA-L
PLIN4
PMS1
ALDH1L1
DNAH14
LOC110091776
NPPA
MYL12B
H2BFM
FLJ25758
MBD3L2B
CDK5RAP2
UXT-AS1
DGLUCY
LOC107985911
LSP1P4
PRSS3
GAB4
IDUA
MS4A12
HTR3E
MST1P2
COX6C
GK5
ANKRD20A9P
LOC653653
SVEP1
AKR1E2
GPRIN1
TMEM8A
ZNF3
RP1L1
CHMP4B
RALY-AS1
PCMTD1
MIR4539
FAM30A
RPL34-AS1
MDP1
NEDD8-MDP1
KIR2DS4
HGC6.3
CLECL1
FOLH1B
PRICKLE1
MUC7
WHAMMP2
ANTXRLP1
KIAA1841
OR52N1
SAMD11
AREL1
TYW1B
C9orf147
NOTCH2
LPO
TIGD6
RHPN2
CLDN14
ERI1
LOC390705
LOC105369266
GPRC5C
TK2
ZSCAN12P1
XRCC4
LINC00421
TPTE2
GJB4
RNASE9
GBGT1
KHDC1
FAM83H
LAIR1
AQP7
MROH2B
TBC1D27P
CIDEA
MOSMO
CHEK2P2
HERC2P3
OR7E14P
INPP5D
ZNF664
PRSS41
P2RX5
LARP7
EPDR1
C9orf43
CCDC90B
ZNF705E
CCDC198
RUNX2
TLCD3A
NRP2
ZNF474
CSAG1
LGALS9
NOS2
NKD2
PTPN4
SMIM22
ZNF500
CST3
KIR2DS5
KIR2DS3
LOC102725023
KMT2C
CAMTA2
ARSD
BEGAIN
STXBP2
FOXD4L5
CHPT1
KRT24
ZNF80
CES5A
PDE6B
ZRANB1
STYXL1
FRG1
GRIN3B
ZNF527
FAM166B
CTSL
CDRT15
PHKA1
PRAMEF2
WTIP
ZNF807P
NLRP8
BLM
CASP9
HIST2H2BC
ZDHHC11B
POTEH
LPAL2
TOR1AIP1
ACTR3BP2
ETV2
GART
TMUB2
HLA-DRB6
NLRP1
NBPF1
MIR5091
LINC01182
PAK4
KRI1
SLC9A8
CCDC144NL
KLK5
TAS2R19
LCN10
POTEM
OR11H2
AKR7L
